--- 1 ---
 (1) 1: -55
 (2) 1: -55
 (3) 1: -55
 (4) 1: -54
 (5) 1: -55
 (6) 1: -54
 (7) 1: -54
 (8) 1: -55
 (9) 1: -55
(10) 1: -54
(11) 1: -55
(12) 1: -54
(13) 1: -55
(14) 1: -55
(15) 1: -54
(16) 1: -55
(17) 1: -55
(18) 1: -55
(19) 1: -55
(20) 1: -54
(21) 1: -55
(22) 1: -55
(23) 1: -55
(24) 1: -55
(25) 1: -55
(26) 1: -54
(27) 1: -54
(28) 1: -55
(29) 1: -54
(30) 1: -55
(31) 1: -55
(32) 1: -54
(33) 1: -54
(34) 1: -55
(35) 1: -55
(36) 1: -55
(37) 1: -55
(38) 1: -55
(39) 1: -54
(40) 1: -54
(41) 1: -54
(42) 1: -55
(43) 1: -55
(44) 1: -55
(45) 1: -55
(46) 1: -55
(47) 1: -55
(48) 1: -54
(49) 1: -54
(50) 1: -54
(51) 1: -54
(52) 1: -55
(53) 1: -54
(54) 1: -54
(55) 1: -55
(56) 1: -55
(57) 1: -55
(58) 1: -55
(59) 1: -54
(60) 1: -54
(61) 1: -55
(62) 1: -54
(63) 1: -54
(64) 1: -55
(65) 1: -54
(66) 1: -54
(67) 1: -54
(68) 1: -54
(69) 1: -54
(70) 1: -54
(71) 1: -55
(72) 1: -55
(73) 1: -54
(74) 1: -55
(75) 1: -54
(76) 1: -54
(77) 1: -54
(78) 1: -54
(79) 1: -54
(80) 1: -55
(81) 1: -55
(82) 1: -54
(83) 1: -54
(84) 1: -54
(85) 1: -54
(86) 1: -54
(87) 1: -56
(88) 1: -55
(89) 1: -55
(90) 1: -55
(91) 1: -56
(92) 1: -55
(93) 1: -55
(94) 1: -55
(95) 1: -55
(96) 1: -55
(97) 1: -55
(98) 1: -55
(99) 1: -55
(100) 1:-55
--- 2 ---
 (1) 1: -55
 (2) 1: -55
 (3) 1: -55
 (4) 1: -55
 (5) 1: -55
 (6) 1: -55
 (7) 1: -55
 (8) 1: -55
 (9) 1: -55
(10) 1: -56
(11) 1: -55
(12) 1: -55
(13) 1: -55
(14) 1: -55
(15) 1: -55
(16) 1: -55
(17) 1: -55
(18) 1: -55
(19) 1: -55
(20) 1: -55
(21) 1: -55
(22) 1: -55
(23) 1: -55
(24) 1: -55
(25) 1: -56
(26) 1: -55
(27) 1: -55
(28) 1: -55
(29) 1: -56
(30) 1: -55
(31) 1: -55
(32) 1: -55
(33) 1: -55
(34) 1: -54
(35) 1: -54
(36) 1: -54
(37) 1: -54
(38) 1: -55
(39) 1: -54
(40) 1: -54
(41) 1: -54
(42) 1: -54
(43) 1: -54
(44) 1: -55
(45) 1: -54
(46) 1: -54
(47) 1: -54
(48) 1: -55
(49) 1: -55
(50) 1: -55
(51) 1: -55
(52) 1: -55
(53) 1: -55
(54) 1: -56
(55) 1: -55
(56) 1: -55
(57) 1: -56
(58) 1: -55
(59) 1: -55
(60) 1: -55
(61) 1: -55
(62) 1: -55
(63) 1: -56
(64) 1: -56
(65) 1: -56
(66) 1: -55
(67) 1: -55
(68) 1: -55
(69) 1: -55
(70) 1: -55
(71) 1: -55
(72) 1: -55
(73) 1: -55
(74) 1: -55
(75) 1: -55
(76) 1: -55
(77) 1: -56
(78) 1: -55
(79) 1: -56
(80) 1: -56
(81) 1: -55
(82) 1: -55
(83) 1: -54
(84) 1: -54
(85) 1: -54
(86) 1: -55
(87) 1: -54
(88) 1: -55
(89) 1: -54
(90) 1: -55
(91) 1: -55
(92) 1: -54
(93) 1: -55
(94) 1: -55
(95) 1: -54
(96) 1: -55
(97) 1: -54
(98) 1: -55
(99) 1: -55
(100) 1:-54
--- 3 ---
 (1) 1: -55
 (2) 1: -55
 (3) 1: -55
 (4) 1: -55
 (5) 1: -54
 (6) 1: -55
 (7) 1: -55
 (8) 1: -54
 (9) 1: -54
(10) 1: -54
(11) 1: -55
(12) 1: -55
(13) 1: -54
(14) 1: -55
(15) 1: -55
(16) 1: -55
(17) 1: -55
(18) 1: -55
(19) 1: -55
(20) 1: -55
(21) 1: -55
(22) 1: -55
(23) 1: -55
(24) 1: -55
(25) 1: -55
(26) 1: -54
(27) 1: -55
(28) 1: -55
(29) 1: -55
(30) 1: -55
(31) 1: -55
(32) 1: -55
(33) 1: -54
(34) 1: -54
(35) 1: -55
(36) 1: -54
(37) 1: -55
(38) 1: -54
(39) 1: -54
(40) 1: -55
(41) 1: -54
(42) 1: -54
(43) 1: -55
(44) 1: -54
(45) 1: -54
(46) 1: -55
(47) 1: -54
(48) 1: -54
(49) 1: -54
(50) 1: -54
(51) 1: -54
(52) 1: -54
(53) 1: -54
(54) 1: -54
(55) 1: -54
(56) 1: -54
(57) 1: -54
(58) 1: -54
(59) 1: -54
(60) 1: -54
(61) 1: -54
(62) 1: -54
(63) 1: -54
(64) 1: -54
(65) 1: -54
(66) 1: -54
(67) 1: -54
(68) 1: -54
(69) 1: -55
(70) 1: -54
(71) 1: -54
(72) 1: -54
(73) 1: -54
(74) 1: -54
(75) 1: -54
(76) 1: -54
(77) 1: -54
(78) 1: -54
(79) 1: -54
(80) 1: -54
(81) 1: -54
(82) 1: -54
(83) 1: -54
(84) 1: -54
(85) 1: -54
(86) 1: -54
(87) 1: -54
(88) 1: -55
(89) 1: -55
(90) 1: -54
(91) 1: -54
(92) 1: -54
(93) 1: -54
(94) 1: -54
(95) 1: -54
(96) 1: -54
(97) 1: -54
(98) 1: -54
(99) 1: -54
(100) 1:-54
--- 4 ---
 (1) 1: -54
 (2) 1: -54
 (3) 1: -54
 (4) 1: -54
 (5) 1: -54
 (6) 1: -55
 (7) 1: -53
 (8) 1: -54
 (9) 1: -54
(10) 1: -55
(11) 1: -54
(12) 1: -55
(13) 1: -55
(14) 1: -56
(15) 1: -55
(16) 1: -55
(17) 1: -55
(18) 1: -55
(19) 1: -55
(20) 1: -55
(21) 1: -55
(22) 1: -55
(23) 1: -55
(24) 1: -55
(25) 1: -55
(26) 1: -54
(27) 1: -54
(28) 1: -54
(29) 1: -54
(30) 1: -54
(31) 1: -54
(32) 1: -54
(33) 1: -54
(34) 1: -54
(35) 1: -54
(36) 1: -55
(37) 1: -55
(38) 1: -54
(39) 1: -54
(40) 1: -54
(41) 1: -54
(42) 1: -54
(43) 1: -56
(44) 1: -54
(45) 1: -54
(46) 1: -54
(47) 1: -54
(48) 1: -54
(49) 1: -54
(50) 1: -55
(51) 1: -54
(52) 1: -54
(53) 1: -54
(54) 1: -54
(55) 1: -55
(56) 1: -54
(57) 1: -56
(58) 1: -54
(59) 1: -56
(60) 1: -54
(61) 1: -54
(62) 1: -54
(63) 1: -54
(64) 1: -54
(65) 1: -54
(66) 1: -54
(67) 1: -54
(68) 1: -54
(69) 1: -54
(70) 1: -55
(71) 1: -56
(72) 1: -56
(73) 1: -56
(74) 1: -56
(75) 1: -55
(76) 1: -55
(77) 1: -55
(78) 1: -55
(79) 1: -54
(80) 1: -54
(81) 1: -55
(82) 1: -55
(83) 1: -55
(85) 1: -55
(86) 1: -56
(87) 1: -55
(88) 1: -56
(89) 1: -56
(90) 1: -55
(91) 1: -55
(92) 1: -55
(93) 1: -55
(94) 1: -54
(95) 1: -54
(96) 1: -54
(97) 1: -55
(98) 1: -59
(99) 1: -55
