--- 1 ---
 (1) 0: -72
 (2) 0: -73
 (3) 0: -73
 (4) 0: -74
 (5) 0: -73
 (6) 0: -73
 (7) 0: -73
 (8) 0: -72
 (9) 0: -72
(10) 0: -74
(11) 0: -73
(12) 0: -74
(13) 0: -73
(14) 0: -74
(15) 0: -74
(16) 0: -73
(17) 0: -74
(18) 0: -73
(19) 0: -74
(20) 0: -74
(21) 0: -73
(22) 0: -74
(23) 0: -73
(24) 0: -73
(25) 0: -74
(26) 0: -74
(27) 0: -74
(28) 0: -73
(29) 0: -73
(30) 0: -74
(31) 0: -74
(32) 0: -74
(33) 0: -74
(34) 0: -73
(35) 0: -74
(36) 0: -74
(37) 0: -73
(38) 0: -74
(39) 0: -74
(40) 0: -74
(41) 0: -73
(42) 0: -73
(43) 0: -74
(44) 0: -73
(45) 0: -73
(46) 0: -74
(47) 0: -73
(48) 0: -73
(49) 0: -73
(50) 0: -74
(51) 0: -73
(52) 0: -74
(53) 0: -74
(54) 0: -74
(55) 0: -73
(56) 0: -73
(57) 0: -73
(58) 0: -73
(59) 0: -73
(60) 0: -73
(61) 0: -73
(62) 0: -73
(63) 0: -74
(64) 0: -73
(65) 0: -74
(66) 0: -74
(67) 0: -73
(68) 0: -73
(69) 0: -74
(70) 0: -73
(71) 0: -73
(72) 0: -73
(73) 0: -74
(74) 0: -73
(75) 0: -74
(76) 0: -73
(77) 0: -74
(78) 0: -73
(79) 0: -74
(80) 0: -73
(81) 0: -74
(82) 0: -73
(83) 0: -73
(84) 0: -73
(85) 0: -74
(86) 0: -74
(87) 0: -74
(88) 0: -73
(89) 0: -74
(90) 0: -73
(91) 0: -73
(92) 0: -73
(93) 0: -73
(94) 0: -74
(95) 0: -74
(96) 0: -73
(97) 0: -74
(98) 0: -73
(99) 0: -74
(100) 0:-74
--- 2 ---
 (1) 0: -74
 (2) 0: -74
 (3) 0: -74
 (4) 0: -73
 (5) 0: -74
 (6) 0: -73
 (7) 0: -73
 (8) 0: -74
 (9) 0: -74
(10) 0: -74
(11) 0: -74
(12) 0: -73
(13) 0: -74
(14) 0: -74
(15) 0: -74
(16) 0: -74
(17) 0: -74
(18) 0: -73
(19) 0: -74
(20) 0: -74
(21) 0: -74
(22) 0: -73
(23) 0: -73
(24) 0: -74
(25) 0: -73
(26) 0: -74
(27) 0: -74
(28) 0: -74
(29) 0: -74
(30) 0: -74
(31) 0: -74
(32) 0: -74
(33) 0: -74
(34) 0: -74
(35) 0: -73
(36) 0: -74
(37) 0: -74
(38) 0: -73
(39) 0: -74
(40) 0: -74
(41) 0: -74
(42) 0: -74
(43) 0: -74
(44) 0: -74
(45) 0: -74
(46) 0: -74
(47) 0: -74
(48) 0: -74
(49) 0: -73
(50) 0: -74
(51) 0: -74
(52) 0: -74
(53) 0: -74
(54) 0: -74
(55) 0: -74
(56) 0: -74
(57) 0: -74
(58) 0: -74
(59) 0: -74
(60) 0: -74
(61) 0: -74
(62) 0: -74
(63) 0: -74
(64) 0: -73
(65) 0: -74
(66) 0: -74
(67) 0: -74
(68) 0: -75
(69) 0: -74
(70) 0: -73
(71) 0: -74
(72) 0: -74
(73) 0: -74
(74) 0: -74
(75) 0: -74
(76) 0: -74
(77) 0: -74
(78) 0: -74
(79) 0: -74
(80) 0: -74
(81) 0: -75
(82) 0: -74
(83) 0: -74
(84) 0: -74
(85) 0: -74
(86) 0: -74
(87) 0: -74
(88) 0: -74
(89) 0: -74
(90) 0: -75
(91) 0: -74
(92) 0: -74
(93) 0: -74
(94) 0: -73
(95) 0: -74
(96) 0: -74
(97) 0: -74
(98) 0: -74
(99) 0: -74
(100) 0:-74
--- 3 ---
 (1) 0: -74
 (2) 0: -74
 (3) 0: -74
 (4) 0: -74
 (5) 0: -74
 (6) 0: -74
 (7) 0: -74
 (8) 0: -74
 (9) 0: -75
(10) 0: -74
(11) 0: -74
(12) 0: -74
(13) 0: -74
(14) 0: -74
(15) 0: -74
(16) 0: -75
(17) 0: -74
(18) 0: -74
(19) 0: -74
(20) 0: -75
(21) 0: -73
(22) 0: -74
(23) 0: -74
(24) 0: -74
(25) 0: -74
(26) 0: -74
(27) 0: -74
(28) 0: -74
(29) 0: -74
(30) 0: -74
(31) 0: -74
(32) 0: -74
(33) 0: -75
(34) 0: -74
(35) 0: -74
(36) 0: -74
(37) 0: -74
(38) 0: -74
(39) 0: -75
(40) 0: -74
(41) 0: -74
(42) 0: -75
(43) 0: -75
(44) 0: -74
(45) 0: -75
(46) 0: -75
(47) 0: -74
(48) 0: -74
(49) 0: -75
(50) 0: -74
(51) 0: -75
(52) 0: -74
(53) 0: -74
(54) 0: -74
(55) 0: -74
(56) 0: -74
(57) 0: -74
(58) 0: -74
(59) 0: -74
(60) 0: -74
(61) 0: -74
(62) 0: -75
(63) 0: -75
(64) 0: -74
(65) 0: -74
(66) 0: -74
(67) 0: -74
(68) 0: -74
(69) 0: -74
(70) 0: -75
(71) 0: -74
(72) 0: -74
(73) 0: -74
(74) 0: -74
(75) 0: -74
(76) 0: -75
(77) 0: -75
(78) 0: -75
(79) 0: -75
(80) 0: -75
(81) 0: -74
(82) 0: -75
(83) 0: -75
(84) 0: -74
(85) 0: -74
(86) 0: -74
(87) 0: -74
(88) 0: -74
(89) 0: -74
(90) 0: -75
(91) 0: -75
(92) 0: -74
(93) 0: -75
(94) 0: -75
(95) 0: -75
(96) 0: -74
(97) 0: -75
(98) 0: -75
(99) 0: -75
(100) 0:-75
