--- 1 ---
 (1) 0: -89
 (2) 0: -91
 (3) 0: -92
 (4) 0: -94
 (5) 0: -92
 (6) 0: -96
 (7) 0: -95
 (8) 0: -95
 (9) 0: -92
(10) 0: -96
(11) 0: -94
(12) 0: -98
(13) 0: -93
(14) 0: -95
(15) 0: -94
(16) 0: -95
(17) 0: -95
(18) 0: -92
(19) 0: -96
(20) 0: -95
(21) 0: -95
(22) 0: -95
(23) 0: -96
(24) 0: -95
(25) 0: -94
(26) 0: -95
(27) 0: -97
(28) 0: -91
(29) 0: -94
(30) 0: -92
(31) 0: -99
(32) 0: -93
(33) 0: -95
(34) 0: -94
(35) 0: -96
(36) 0: -97
(37) 0: -95
(38) 0: -94
(39) 0: -94
(40) 0: -96
(41) 0: -95
(42) 0: -93
(43) 0: -93
(44) 0: -91
(45) 0: -93
(46) 0: -89
(47) 0: -96
(48) 0: -94
(49) 0: -96
(50) 0: -95
(51) 0: -94
(52) 0: -95
(53) 0: -96
(54) 0: -94
(55) 0: -96
(56) 0: -93
(57) 0: -92
(58) 0: -95
(59) 0: -92
(60) 0: -95
(61) 0: -95
(62) 0: -93
(63) 0: -94
(64) 0: -93
(65) 0: -96
(66) 0: -95
(67) 0: -92
(68) 0: -95
(69) 0: -94
(70) 0: -98
(71) 0: -94
(72) 0: -91
(73) 0: -93
(74) 0: -93
(75) 0: -97
(76) 0: -92
(77) 0: -96
(78) 0: -96
(79) 0: -95
(80) 0: -96
(81) 0: -94
(82) 0: -93
(83) 0: -95
(84) 0: -93
(85) 0: -96
(86) 0: -97
(87) 0: -95
(88) 0: -90
(89) 0: -96
(90) 0: -93
(91) 0: -95
(92) 0: -89
(93) 0: -90
(94) 0: -96
(95) 0: -97
(96) 0: -94
(97) 0: -95
(98) 0: -95
(99) 0: -94
(100) 0:-94
--- 2 ---
 (1) 0: -90
 (2) 0: -94
 (3) 0: -91
 (4) 0: -89
 (5) 0: -96
 (6) 0: -94
 (7) 0: -95
 (8) 0: -94
 (9) 0: -95
(10) 0: -96
(11) 0: -94
(12) 0: -97
(13) 0: -93
(14) 0: -91
(15) 0: -95
(16) 0: -95
(17) 0: -94
(18) 0: -95
(19) 0: -95
(20) 0: -93
(21) 0: -96
(22) 0: -95
(23) 0: -96
(24) 0: -95
(25) 0: -94
(26) 0: -95
(27) 0: -92
(28) 0: -94
(29) 0: -96
(30) 0: -97
(31) 0: -94
(32) 0: -94
(33) 0: -94
(34) 0: -96
(35) 0: -93
(36) 0: -89
(37) 0: -94
(38) 0: -93
(39) 0: -94
(40) 0: -95
(41) 0: -89
(42) 0: -96
(43) 0: -96
(44) 0: -89
(45) 0: -94
(46) 0: -98
(47) 0: -93
(48) 0: -94
(49) 0: -94
(50) 0: -96
(51) 0: -91
(52) 0: -91
(53) 0: -92
(54) 0: -96
(55) 0: -95
(56) 0: -94
(57) 0: -93
(58) 0: -95
(59) 0: -93
(60) 0: -93
(61) 0: -95
(62) 0: -95
(63) 0: -91
(64) 0: -95
(65) 0: -90
(66) 0: -94
(67) 0: -95
(68) 0: -89
(69) 0: -97
(70) 0: -96
(71) 0: -95
(72) 0: -94
(73) 0: -95
(74) 0: -89
(75) 0: -95
(76) 0: -93
(77) 0: -94
(78) 0: -96
(79) 0: -95
(80) 0: -90
(81) 0: -94
(82) 0: -97
(83) 0: -95
(84) 0: -95
(85) 0: -94
(86) 0: -93
(87) 0: -94
(88) 0: -96
(89) 0: -94
(90) 0: -91
(91) 0: -89
(92) 0: -95
(93) 0: -94
(94) 0: -94
(95) 0: -97
(96) 0: -96
(97) 0: -93
(98) 0: -94
(99) 0: -96
(100) 0:-95
--- 3 ---
 (1) 0: -95
 (2) 0: -90
 (3) 0: -95
 (4) 0: -95
 (5) 0: -101
 (6) 0: -93
 (7) 0: -93
 (8) 0: -94
 (9) 0: -94
(10) 0: -97
(11) 0: -91
(12) 0: -96
(13) 0: -95
(14) 0: -93
(15) 0: -95
(16) 0: -94
(17) 0: -96
(18) 0: -95
(19) 0: -96
(20) 0: -93
(21) 0: -94
(22) 0: -94
(23) 0: -96
(24) 0: -95
(25) 0: -93
(26) 0: -94
(27) 0: -88
(28) 0: -93
(29) 0: -94
(30) 0: -89
(31) 0: -96
(32) 0: -96
(33) 0: -95
(34) 0: -95
(35) 0: -96
(36) 0: -96
(37) 0: -94
(38) 0: -96
(39) 0: -96
(40) 0: -95
(41) 0: -94
(42) 0: -96
(43) 0: -92
(44) 0: -96
(45) 0: -97
(46) 0: -95
(47) 0: -95
(48) 0: -96
(49) 0: -90
(50) 0: -99
(51) 0: -93
(52) 0: -93
(53) 0: -94
(54) 0: -98
(55) 0: -90
(56) 0: -94
(57) 0: -94
(58) 0: -94
(59) 0: -93
(60) 0: -88
(61) 0: -95
(62) 0: -95
(63) 0: -94
(64) 0: -89
(65) 0: -91
(66) 0: -95
(67) 0: -95
(68) 0: -97
(69) 0: -97
(70) 0: -94
(71) 0: -90
(72) 0: -96
(73) 0: -95
(74) 0: -94
(75) 0: -93
(76) 0: -93
(77) 0: -97
(78) 0: -97
(79) 0: -94
(80) 0: -97
(81) 0: -95
(82) 0: -97
(83) 0: -94
(84) 0: -96
(85) 0: -96
(86) 0: -91
(87) 0: -88
(88) 0: -95
(89) 0: -95
(90) 0: -94
(91) 0: -95
(92) 0: -95
(93) 0: -94
(94) 0: -94
(95) 0: -96
(96) 0: -96
(97) 0: -97
(98) 0: -94
(99) 0: -94
(100) 0:-94
--- 4 ---
 (1) 0: -95
 (2) 0: -94
 (3) 0: -97
 (4) 0: -92
 (5) 0: -93
 (6) 0: -95
 (7) 0: -94
 (8) 0: -90
 (9) 0: -91
(10) 0: -95
(11) 0: -98
(12) 0: -96
(13) 0: -95
(14) 0: -94
(15) 0: -96
(16) 0: -91
(17) 0: -96
(18) 0: -97
(19) 0: -93
(20) 0: -95
(21) 0: -93
(22) 0: -97
(23) 0: -97
(24) 0: -92
(25) 0: -94
(26) 0: -96
(27) 0: -96
(28) 0: -98
(29) 0: -95
(30) 0: -96
(31) 0: -93
(32) 0: -95
(33) 0: -95
(34) 0: -96
(35) 0: -92
(36) 0: -90
(37) 0: -96
(38) 0: -93
(39) 0: -97
(40) 0: -95
(41) 0: -95
(42) 0: -94
(43) 0: -90
(44) 0: -95
(45) 0: -95
(46) 0: -91
(47) 0: -94
(48) 0: -96
(49) 0: -95
(50) 0: -96
(51) 0: -94
(52) 0: -93
(53) 0: -95
(54) 0: -95
(55) 0: -94
(56) 0: -95
(57) 0: -92
(58) 0: -96
(59) 0: -95
(60) 0: -91
(61) 0: -94
(62) 0: -95
(63) 0: -94
(64) 0: -97
(65) 0: -89
(66) 0: -95
(67) 0: -94
(68) 0: -91
(69) 0: -94
(70) 0: -97
(71) 0: -96
(72) 0: -96
(73) 0: -95
(74) 0: -95
(75) 0: -95
(76) 0: -96
(77) 0: -96
(78) 0: -89
(79) 0: -91
(80) 0: -94
(81) 0: -94
(82) 0: -94
(83) 0: -95
(84) 0: -90
(85) 0: -96
(86) 0: -96
(87) 0: -94
(88) 0: -93
(89) 0: -94
(90) 0: -93
(91) 0: -93
(92) 0: -95
(93) 0: -95
(94) 0: -93
(95) 0: -92
(96) 0: -100
(97) 0: -88
(98) 0: -95
(99) 0: -90
(100) 0:-96
--- 5 ---
 (1) 0: -94
 (2) 0: -93
 (3) 0: -94
 (4) 0: -93
 (5) 0: -95
 (6) 0: -94
 (7) 0: -93
 (8) 0: -95
 (9) 0: -94
(10) 0: -94
(11) 0: -96
(12) 0: -97
(13) 0: -96
(14) 0: -92
(15) 0: -94
(16) 0: -93
(17) 0: -96
(18) 0: -95
(19) 0: -95
(20) 0: -95
(21) 0: -91
(22) 0: -97
(23) 0: -94
(24) 0: -93
(25) 0: -94
(26) 0: -96
(27) 0: -95
(28) 0: -97
(29) 0: -93
(30) 0: -96
(31) 0: -94
(32) 0: -91
(33) 0: -94
(34) 0: -95
(35) 0: -96
(36) 0: -96
(37) 0: -94
(38) 0: -92
(39) 0: -92
(40) 0: -94
(41) 0: -92
(42) 0: -94
(43) 0: -94
(44) 0: -94
(45) 0: -95
(46) 0: -96
(47) 0: -95
(48) 0: -94
(49) 0: -90
(50) 0: -93
(51) 0: -90
(52) 0: -96
(53) 0: -94
(54) 0: -91
(55) 0: -93
(56) 0: -97
(57) 0: -94
(58) 0: -94
(59) 0: -96
(60) 0: -95
(61) 0: -95
(62) 0: -91
(63) 0: -94
(64) 0: -95
(65) 0: -93
(66) 0: -94
(67) 0: -94
(68) 0: -94
(69) 0: -95
(70) 0: -94
(71) 0: -95
(72) 0: -94
(73) 0: -95
(74) 0: -94
(75) 0: -93
(76) 0: -94
(77) 0: -95
(78) 0: -90
(79) 0: -94
(80) 0: -95
(81) 0: -91
(82) 0: -93
(83) 0: -96
(84) 0: -96
(85) 0: -93
(86) 0: -95
(87) 0: -93
(88) 0: -95
(89) 0: -95
(90) 0: -94
(91) 0: -93
(92) 0: -93
(93) 0: -89
(94) 0: -94
(95) 0: -94
(96) 0: -95
(97) 0: -95
(98) 0: -95
(99) 0: -95
(100) 0:-94
--- 6 ---
 (1) 0: -94
 (2) 0: -91
 (3) 0: -95
 (4) 0: -93
 (5) 0: -98
 (6) 0: -94
 (7) 0: -95
 (8) 0: -90
 (9) 0: -96
(10) 0: -90
(11) 0: -95
(12) 0: -96
(13) 0: -93
(14) 0: -96
(15) 0: -93
(16) 0: -94
(17) 0: -96
(18) 0: -93
(19) 0: -94
(20) 0: -93
(21) 0: -96
(22) 0: -95
(23) 0: -94
(24) 0: -91
(25) 0: -93
(26) 0: -94
(27) 0: -99
