--- 1 ---
 (1) 0: -83
 (2) 0: -83
 (3) 0: -82
 (4) 0: -84
 (5) 0: -83
 (6) 0: -84
 (7) 0: -84
 (8) 0: -83
 (9) 0: -83
(10) 0: -84
(11) 0: -81
(12) 0: -83
(13) 0: -82
(14) 0: -81
(15) 0: -83
(16) 0: -82
(17) 0: -83
(18) 0: -83
(19) 0: -82
(20) 0: -82
(21) 0: -82
(22) 0: -83
(23) 0: -82
(24) 0: -81
(25) 0: -82
(26) 0: -82
(27) 0: -82
(28) 0: -82
(29) 0: -82
(30) 0: -83
(31) 0: -82
(32) 0: -82
(33) 0: -82
(34) 0: -82
(35) 0: -82
(36) 0: -82
(37) 0: -82
(38) 0: -82
(39) 0: -82
(40) 0: -81
(41) 0: -82
(42) 0: -82
(43) 0: -82
(44) 0: -82
(45) 0: -82
(46) 0: -83
(47) 0: -82
(48) 0: -83
(49) 0: -83
(50) 0: -82
(51) 0: -82
(52) 0: -83
(53) 0: -82
(54) 0: -82
(55) 0: -83
(56) 0: -83
(57) 0: -82
(58) 0: -83
(59) 0: -82
(60) 0: -82
(61) 0: -83
(62) 0: -82
(63) 0: -82
(64) 0: -83
(65) 0: -81
(66) 0: -83
(67) 0: -82
(68) 0: -83
(69) 0: -83
(70) 0: -82
(71) 0: -84
(72) 0: -83
(73) 0: -83
(74) 0: -82
(75) 0: -82
(76) 0: -82
(77) 0: -82
(78) 0: -83
(79) 0: -81
(80) 0: -82
(81) 0: -83
(82) 0: -82
(83) 0: -82
(84) 0: -82
(85) 0: -82
(86) 0: -82
(87) 0: -82
(88) 0: -82
(89) 0: -82
(90) 0: -83
(91) 0: -82
(92) 0: -83
(93) 0: -82
(94) 0: -82
(95) 0: -83
(96) 0: -83
(97) 0: -82
(98) 0: -82
(99) 0: -82
(100) 0:-82
--- 2 ---
 (1) 0: -82
 (2) 0: -83
 (3) 0: -82
 (4) 0: -82
 (5) 0: -82
 (6) 0: -82
 (7) 0: -82
 (8) 0: -82
 (9) 0: -82
(10) 0: -83
(11) 0: -83
(12) 0: -82
(13) 0: -82
(14) 0: -82
(15) 0: -82
(16) 0: -82
(17) 0: -82
(18) 0: -83
(19) 0: -82
(20) 0: -82
(21) 0: -83
(22) 0: -82
(23) 0: -82
(24) 0: -83
(25) 0: -83
(26) 0: -82
(27) 0: -82
(28) 0: -83
(29) 0: -83
(30) 0: -81
(31) 0: -82
(32) 0: -82
(33) 0: -82
(34) 0: -82
(35) 0: -82
(36) 0: -83
(37) 0: -82
(38) 0: -82
(39) 0: -82
(40) 0: -82
(41) 0: -82
(42) 0: -82
(43) 0: -82
(44) 0: -82
(45) 0: -83
(46) 0: -82
(47) 0: -82
(48) 0: -82
(49) 0: -82
(50) 0: -82
(51) 0: -82
(52) 0: -82
(53) 0: -82
(54) 0: -81
(55) 0: -81
(56) 0: -82
(57) 0: -82
(58) 0: -82
(59) 0: -82
(60) 0: -82
(61) 0: -82
(62) 0: -82
(63) 0: -82
(64) 0: -82
(65) 0: -82
(66) 0: -82
(67) 0: -82
(68) 0: -83
(69) 0: -83
(70) 0: -83
(71) 0: -83
(72) 0: -82
(73) 0: -82
(74) 0: -82
(75) 0: -82
(76) 0: -82
(77) 0: -82
(78) 0: -82
(79) 0: -82
(80) 0: -82
(81) 0: -82
(82) 0: -83
(83) 0: -82
(84) 0: -82
(85) 0: -82
(86) 0: -82
(87) 0: -82
(88) 0: -83
(89) 0: -82
(90) 0: -83
(91) 0: -81
(92) 0: -82
(93) 0: -82
(94) 0: -82
(95) 0: -83
(96) 0: -82
(97) 0: -82
(98) 0: -82
(99) 0: -83
(100) 0:-82
--- 3 ---
 (1) 0: -82
 (2) 0: -82
 (3) 0: -83
 (4) 0: -82
 (5) 0: -82
 (6) 0: -82
 (7) 0: -82
 (8) 0: -82
 (9) 0: -82
(10) 0: -82
(11) 0: -82
(12) 0: -82
(13) 0: -82
(14) 0: -82
(15) 0: -82
(16) 0: -81
(17) 0: -82
(18) 0: -82
(19) 0: -82
(20) 0: -83
(21) 0: -82
(22) 0: -82
(23) 0: -82
(24) 0: -82
(25) 0: -82
(26) 0: -82
(27) 0: -84
(28) 0: -82
(29) 0: -81
(30) 0: -82
(31) 0: -82
(32) 0: -82
(33) 0: -83
(34) 0: -82
(35) 0: -83
(36) 0: -82
(37) 0: -82
(38) 0: -81
(39) 0: -83
(40) 0: -82
(41) 0: -82
(42) 0: -83
(43) 0: -82
(44) 0: -82
(45) 0: -82
(46) 0: -82
(47) 0: -83
(48) 0: -83
(49) 0: -83
(50) 0: -82
(51) 0: -82
(52) 0: -82
(53) 0: -81
(54) 0: -82
(55) 0: -82
(56) 0: -82
(57) 0: -83
(58) 0: -82
(59) 0: -82
(60) 0: -82
(61) 0: -83
(62) 0: -82
(63) 0: -82
(64) 0: -82
(65) 0: -83
(66) 0: -82
(67) 0: -82
(68) 0: -82
(69) 0: -82
(70) 0: -82
(71) 0: -82
(72) 0: -83
(73) 0: -82
(74) 0: -82
(75) 0: -82
(76) 0: -82
(77) 0: -83
(78) 0: -83
(79) 0: -82
(80) 0: -82
(81) 0: -83
(82) 0: -82
(83) 0: -82
(84) 0: -81
(85) 0: -82
(86) 0: -82
(87) 0: -82
(88) 0: -83
(89) 0: -83
(90) 0: -82
(91) 0: -82
(92) 0: -83
(93) 0: -82
(94) 0: -81
(95) 0: -82
(96) 0: -82
(97) 0: -82
(98) 0: -83
(99) 0: -82
(100) 0:-82
--- 4 ---
 (1) 0: -82
 (2) 0: -83
 (3) 0: -82
 (4) 0: -82
 (5) 0: -82
 (6) 0: -81
 (7) 0: -82
 (8) 0: -82
 (9) 0: -82
(10) 0: -82
(11) 0: -83
(12) 0: -84
(13) 0: -83
(14) 0: -83
(15) 0: -83
(16) 0: -82
(17) 0: -81
(18) 0: -82
(19) 0: -82
(20) 0: -83
(21) 0: -83
(22) 0: -82
(23) 0: -82
(24) 0: -82
(25) 0: -81
(26) 0: -82
(27) 0: -82
(28) 0: -83
(29) 0: -82
(30) 0: -82
(31) 0: -83
(32) 0: -83
(33) 0: -82
(34) 0: -82
(35) 0: -82
(36) 0: -82
(37) 0: -82
(38) 0: -82
(39) 0: -81
(40) 0: -82
(41) 0: -82
(42) 0: -82
(43) 0: -82
(44) 0: -82
(45) 0: -82
(46) 0: -82
(47) 0: -82
(48) 0: -82
(49) 0: -82
(50) 0: -81
(51) 0: -82
(52) 0: -82
(53) 0: -82
(54) 0: -83
(55) 0: -82
(56) 0: -82
(57) 0: -82
(58) 0: -82
(59) 0: -82
(60) 0: -82
(61) 0: -82
(62) 0: -82
(63) 0: -81
(64) 0: -82
(65) 0: -81
(66) 0: -82
(67) 0: -82
(68) 0: -82
(69) 0: -82
(70) 0: -82
(71) 0: -81
(72) 0: -82
(73) 0: -82
(74) 0: -83
(75) 0: -83
(76) 0: -82
(77) 0: -82
(78) 0: -82
(79) 0: -83
(80) 0: -82
(81) 0: -82
(82) 0: -82
(83) 0: -82
(84) 0: -83
(85) 0: -82
(86) 0: -82
(87) 0: -82
(88) 0: -82
(89) 0: -82
(90) 0: -83
(91) 0: -81
(92) 0: -82
(93) 0: -82
(94) 0: -82
(95) 0: -83
(96) 0: -83
(97) 0: -82
(98) 0: -83
(99) 0: -83
(100) 0:-82
--- 5 ---
 (1) 0: -82
 (2) 0: -83
 (3) 0: -82
 (4) 0: -81
 (5) 0: -81
 (6) 0: -82
 (7) 0: -82
 (8) 0: -83
 (9) 0: -82
(10) 0: -82
(11) 0: -82
(12) 0: -82
(13) 0: -82
(14) 0: -82
(15) 0: -81
(16) 0: -82
(17) 0: -82
(18) 0: -82
(19) 0: -82
(20) 0: -83
(21) 0: -82
(22) 0: -82
(23) 0: -81
(24) 0: -82
(25) 0: -82
(26) 0: -82
(27) 0: -82
(28) 0: -82
(29) 0: -81
(30) 0: -82
(31) 0: -82
(32) 0: -82
(33) 0: -81
(34) 0: -82
(35) 0: -83
(36) 0: -82
(37) 0: -82
(38) 0: -82
(39) 0: -82
(40) 0: -82
(41) 0: -82
(42) 0: -83
(43) 0: -82
(44) 0: -82
(45) 0: -82
(46) 0: -84
(47) 0: -82
(48) 0: -82
(49) 0: -82
(50) 0: -82
(51) 0: -82
(52) 0: -82
(53) 0: -82
(54) 0: -82
(55) 0: -82
(56) 0: -82
(57) 0: -82
(58) 0: -82
(59) 0: -82
(60) 0: -81
(61) 0: -83
(62) 0: -82
(63) 0: -82
(64) 0: -83
(65) 0: -82
(66) 0: -82
(67) 0: -83
(68) 0: -82
(69) 0: -82
(70) 0: -82
(71) 0: -82
(72) 0: -83
(73) 0: -82
(74) 0: -83
(75) 0: -83
(76) 0: -84
(77) 0: -83
(78) 0: -85
(79) 0: -84
(80) 0: -85
(81) 0: -83
(82) 0: -82
(83) 0: -84
(84) 0: -83
(85) 0: -82
(86) 0: -85
(87) 0: -84
(88) 0: -83
(89) 0: -82
(90) 0: -82
(91) 0: -83
(92) 0: -85
(93) 0: -82
(94) 0: -81
(95) 0: -81
(96) 0: -82
(97) 0: -82
(98) 0: -81
(99) 0: -83
(100) 0:-82
--- 6 ---
 (1) 0: -82
 (2) 0: -81
 (3) 0: -84
 (4) 0: -83
 (5) 0: -82
 (6) 0: -81
 (7) 0: -83
 (8) 0: -82
 (9) 0: -82
(10) 0: -82
(11) 0: -82
(12) 0: -83
(13) 0: -82
(14) 0: -82
(15) 0: -82
(16) 0: -82
(17) 0: -82
(18) 0: -82
(19) 0: -82
(20) 0: -83
(21) 0: -83
(22) 0: -82
(23) 0: -83
(24) 0: -82
(25) 0: -83
(26) 0: -82
(27) 0: -82
(28) 0: -82
(29) 0: -81
(30) 0: -82
(31) 0: -82
(32) 0: -82
(33) 0: -83
(34) 0: -82
(35) 0: -82
(36) 0: -81
(37) 0: -82
(38) 0: -82
(39) 0: -82
(40) 0: -82
(41) 0: -82
(42) 0: -82
(43) 0: -81
(44) 0: -84
(45) 0: -81
(46) 0: -83
(47) 0: -82
(48) 0: -82
(49) 0: -83
(50) 0: -82
(51) 0: -82
(52) 0: -82
(53) 0: -82
(54) 0: -82
(55) 0: -82
(56) 0: -82
(57) 0: -82
(58) 0: -83
(59) 0: -81
(60) 0: -82
(61) 0: -82
(62) 0: -82
(63) 0: -82
(64) 0: -82
(65) 0: -82
(66) 0: -82
(67) 0: -82
(68) 0: -81
(69) 0: -82
(70) 0: -82
(71) 0: -81
(72) 0: -83
(73) 0: -82
(74) 0: -82
(75) 0: -82
(76) 0: -82
(77) 0: -83
(78) 0: -81
(79) 0: -82
(80) 0: -82
(81) 0: -83
(82) 0: -82
(83) 0: -83
(84) 0: -82
(85) 0: -82
(86) 0: -83
(87) 0: -83
(88) 0: -82
(89) 0: -82
(90) 0: -82
(91) 0: -82
(92) 0: -83
(93) 0: -83
(94) 0: -82
(95) 0: -82
(96) 0: -82
(97) 0: -82
(98) 0: -83
(99) 0: -82
(100) 0:-82
--- 7 ---
 (1) 0: -82
 (2) 0: -82
 (3) 0: -82
 (4) 0: -82
 (5) 0: -82
 (6) 0: -81
 (7) 0: -82
 (8) 0: -82
 (9) 0: -82
(10) 0: -82
(11) 0: -82
(12) 0: -82
(13) 0: -82
(14) 0: -82
(15) 0: -83
(16) 0: -82
(17) 0: -82
(18) 0: -83
(19) 0: -83
(20) 0: -82
(21) 0: -83
(22) 0: -83
(23) 0: -82
(24) 0: -81
(25) 0: -82
(26) 0: -82
(27) 0: -81
(28) 0: -81
(29) 0: -81
(30) 0: -82
(31) 0: -82
(32) 0: -82
(33) 0: -82
(34) 0: -82
(35) 0: -82
(36) 0: -82
(37) 0: -82
(38) 0: -82
(39) 0: -83
(40) 0: -82
(41) 0: -82
(42) 0: -82
(43) 0: -83
(44) 0: -81
(45) 0: -82
(46) 0: -82
(47) 0: -83
(48) 0: -83
(49) 0: -82
(50) 0: -82
(51) 0: -83
(52) 0: -83
(53) 0: -82
(54) 0: -83
(55) 0: -82
(56) 0: -82
(57) 0: -82
(58) 0: -83
(59) 0: -82
(60) 0: -83
(61) 0: -81
(62) 0: -82
(63) 0: -82
(64) 0: -83
(65) 0: -82
(66) 0: -82
(67) 0: -82
(68) 0: -82
(69) 0: -83
(70) 0: -82
(71) 0: -83
(72) 0: -83
(73) 0: -83
(74) 0: -82
(75) 0: -82
(76) 0: -82
(77) 0: -82
(78) 0: -82
(79) 0: -83
(80) 0: -83
(81) 0: -83
(82) 0: -83
(83) 0: -82
(84) 0: -83
(85) 0: -82
(86) 0: -82
(87) 0: -82
(88) 0: -82
(89) 0: -84
(90) 0: -82
(91) 0: -82
(92) 0: -81
(93) 0: -82
(94) 0: -82
(95) 0: -82
(96) 0: -82
(97) 0: -83
(98) 0: -82
(99) 0: -82
(100) 0:-83
--- 8 ---
 (1) 0: -83
 (2) 0: -82
 (3) 0: -82
 (4) 0: -83
 (5) 0: -82
 (6) 0: -82
 (7) 0: -82
 (8) 0: -82
 (9) 0: -84
(10) 0: -82
(11) 0: -82
(12) 0: -83
(13) 0: -83
(14) 0: -83
(15) 0: -82
(16) 0: -82
(17) 0: -82
(18) 0: -82
(19) 0: -83
(20) 0: -83
(21) 0: -82
(22) 0: -82
(23) 0: -82
(24) 0: -82
(25) 0: -82
(26) 0: -82
(27) 0: -83
(28) 0: -82
(29) 0: -82
(30) 0: -83
(31) 0: -82
(32) 0: -82
(33) 0: -82
(34) 0: -82
(35) 0: -82
(36) 0: -83
(37) 0: -83
(38) 0: -82
(39) 0: -82
(40) 0: -82
(41) 0: -82
(42) 0: -82
(43) 0: -82
(44) 0: -82
(45) 0: -82
(46) 0: -82
(47) 0: -83
(48) 0: -82
(49) 0: -81
(50) 0: -82
(51) 0: -82
(52) 0: -82
(53) 0: -82
(54) 0: -83
(55) 0: -82
(56) 0: -82
(57) 0: -82
(58) 0: -82
(59) 0: -83
(60) 0: -82
(61) 0: -82
(62) 0: -82
(63) 0: -83
(64) 0: -82
(65) 0: -82
(66) 0: -82
(67) 0: -82
(68) 0: -82
(69) 0: -81
(70) 0: -82
(71) 0: -83
(72) 0: -83
(73) 0: -81
(74) 0: -82
(75) 0: -83
(76) 0: -82
(77) 0: -82
(78) 0: -83
(79) 0: -82
(80) 0: -82
(81) 0: -81
(82) 0: -82
(83) 0: -82
(84) 0: -82
(85) 0: -83
(86) 0: -82
(87) 0: -82
(88) 0: -83
(89) 0: -82
(90) 0: -82
(91) 0: -81
(92) 0: -83
(93) 0: -82
(94) 0: -83
(95) 0: -82
(96) 0: -82
(97) 0: -83
(98) 0: -82
(99) 0: -82
(100) 0:-81
--- 9 ---
 (1) 0: -82
 (2) 0: -83
 (3) 0: -83
 (4) 0: -82
 (5) 0: -83
 (6) 0: -82
 (7) 0: -82
 (8) 0: -83
 (9) 0: -82
(10) 0: -82
(11) 0: -82
(12) 0: -82
(13) 0: -82
(14) 0: -81
(15) 0: -82
(16) 0: -82
(17) 0: -82
(18) 0: -83
(19) 0: -82
(20) 0: -82
(21) 0: -83
(22) 0: -82
(23) 0: -82
(24) 0: -82
(25) 0: -83
(26) 0: -82
(27) 0: -82
(28) 0: -82
(29) 0: -82
(30) 0: -82
(31) 0: -84
(32) 0: -82
(33) 0: -82
(34) 0: -82
(35) 0: -82
(36) 0: -83
(37) 0: -82
(38) 0: -82
(39) 0: -83
(40) 0: -83
(41) 0: -82
(42) 0: -82
(43) 0: -83
(44) 0: -83
(45) 0: -82
(46) 0: -83
(47) 0: -83
(48) 0: -82
(49) 0: -82
(50) 0: -83
(51) 0: -82
(52) 0: -82
(53) 0: -82
(54) 0: -82
(55) 0: -82
(56) 0: -82
(57) 0: -82
(58) 0: -81
(59) 0: -83
(60) 0: -81
(61) 0: -82
(62) 0: -82
(63) 0: -83
(64) 0: -82
(65) 0: -84
(66) 0: -83
(67) 0: -83
(68) 0: -82
(69) 0: -82
(70) 0: -82
(71) 0: -82
(72) 0: -83
(73) 0: -82
(74) 0: -82
(75) 0: -82
(76) 0: -83
(77) 0: -82
(78) 0: -83
(79) 0: -82
(80) 0: -82
(81) 0: -83
(82) 0: -82
(83) 0: -83
(84) 0: -82
(85) 0: -82
(86) 0: -82
(87) 0: -81
(88) 0: -82
(89) 0: -82
(90) 0: -83
(91) 0: -82
(92) 0: -82
(93) 0: -82
(94) 0: -83
(95) 0: -82
(96) 0: -82
(97) 0: -82
(98) 0: -82
(99) 0: -82
(100) 0:-82
--- 10 ---
 (1) 0: -82
 (2) 0: -81
 (3) 0: -82
 (4) 0: -82
 (5) 0: -83
 (6) 0: -82
 (7) 0: -82
 (8) 0: -82
 (9) 0: -82
(10) 0: -83
(11) 0: -81
(12) 0: -81
(13) 0: -83
(14) 0: -81
(15) 0: -82
(16) 0: -82
(17) 0: -83
(18) 0: -82
(19) 0: -82
(20) 0: -82
(21) 0: -84
(22) 0: -82
(23) 0: -82
(24) 0: -82
(25) 0: -82
(26) 0: -82
(27) 0: -82
(28) 0: -82
(29) 0: -83
(30) 0: -83
(31) 0: -83
(32) 0: -83
